index	speaker	text	sentiment	sentiment val	movingave(5eachside)	movingave (10 sentence)	movingave
210	None	"They all keep an eye on me, from a distance."	  Negative	-1	-0.45455	-0.42857	-0.173547341
211	None	"They might hate me, or even be afraid of me, but I'm just glad they didn't bother me."	  Negative	-1	-0.54545	-0.38095	-0.125927341
212	None	"Because I had tons of things to take care of, including spending a lot of my free time devouring books in the school library."	  Neutral	0	-0.45455	-0.42857	-0.173547341
213	None	"I always paid close attention to what was said in class, though."	  Negative	-1	-0.54545	-0.42857	-0.173547341
214	None	Just like the boy named Crow suggested.	  Neutral	0	-0.54545	-0.38095	-0.125927341
215	None	"The facts and techniques or whatever they teach you in class isn't going to be very useful in the real world, that's for sure."	  Negative	-1	-0.54545	-0.47619	-0.221167341
216	None	"Let's face it, teachers are basically a bunch of morons."	  Negative	-1	-0.45455	-0.52381	-0.268787341
217	None	But you've got to remember this: you're running away from home.	  Neutral	0	-0.45455	-0.47619	-0.221167341
218	None	"You probably won't have any chance to go to school anymore, so like it or not you'd better absorb whatever you can while you've got the chance."	  Negative	-1	-0.54545	-0.57143	-0.316407341
219	None	Become like a sheet of blotting paper and soak it all in.	  Neutral	0	-0.45455	-0.57143	-0.316407341
220	None	Later on you can figure out what to keep and what to unload.	  Neutral	0	-0.54545	-0.57143	-0.316407341
221	None	"I did what he said, like I almost always do."	  Neutral	0	-0.54545	-0.52381	-0.268787341
222	None	"My brain like a sponge, I focused on every word said in class and let it all sink in, figured out what it meant, and committed everything to memory."	  Negative	-1	-0.45455	-0.52381	-0.268787341
223	None	"Thanks to this, I barely had to study outside of class, but always came out near the top on exams."	  Negative	-1	-0.63636	-0.52381	-0.268787341
224	None	"My muscles were getting hard as steel, even as I grew more withdrawn and quiet."	  Neutral	0	-0.54545	-0.47619	-0.221167341
225	None	I tried hard to keep my emotions from showing so that no one--classmates and teachers alike--had a clue what I was thinking.	  Negative	-1	-0.54545	-0.47619	-0.221167341
226	None	"Soon I'd be launched into the rough adult world, and I knew I'd have to be tougher than anybody if I wanted to survive."	  Negative	-1	-0.54545	-0.38095	-0.125927341
227	None	"My eyes in the mirror are cold as a lizard's, my expression fixed and unreadable."	  Neutral	0	-0.63636	-0.33333	-0.078307341
228	None	I can't remember the last time I laughed or even showed a hint of a smile to other people.	  Very negative	-2	-0.54545	-0.38095	-0.125927341
229	None	Even to myself.	  Neutral	0	-0.45455	-0.38095	-0.125927341
230	None	"I'm not trying to imply I can keep up this silent, isolated facade all the time."	  Neutral	0	-0.45455	-0.42857	-0.173547341
231	None	Sometimes the wall I've erected around me comes crumbling down.	  Neutral	0	-0.27273	-0.42857	-0.173547341
232	None	"It doesn't happen very often, but sometimes, before I even realize what's going on, there I am--naked and defenseless and totally confused."	  Negative	-1	-0.18182	-0.42857	-0.173547341
233	None	"At times like that I always feel an omen calling out to me, like a dark, omnipresent pool of water."	  Neutral	0	-0.27273	-0.38095	-0.125927341
234	None	"A dark, omnipresent pool of water."	  Neutral	0	-0.18182	-0.33333	-0.078307341
235	None	"It was probably always there, hidden away somewhere."	  Neutral	0	-0.27273	-0.33333	-0.078307341
236	None	"But when the time comes it silently rushes out, chilling every cell in your body."	  Positive	1	-0.27273	-0.19048	0.064542659
237	None	"You drown in that cruel flood, gasping for breath."	  Neutral	0	-0.27273	-0.19048	0.064542659
238	None	"You cling to a vent near the ceiling, struggling, but the air you manage to breathe is dry and burns your throat."	  Negative	-1	-0.18182	-0.19048	0.064542659
239	None	"Water and thirst, cold and heat--these supposedly opposite elements combine to assault you."	  Negative	-1	-0.18182	-0.14286	0.112162659
240	None	"The world is a huge space, but the space that will take you in--and it doesn't have to be very big--is nowhere to be found."	  Negative	-1	-0.18182	-0.095238	0.159784659
241	None	"You seek a voice, but what do you get?"	  Neutral	0	0	-0.047619	0.207403659
242	None	Silence.	  Neutral	0	-0.18182	-0.047619	0.207403659
243	None	"You look for silence, but guess what?"	  Neutral	0	-0.18182	0	0.255022659
244	None	All you hear over and over and over is the voice of this omen.	  Neutral	0	-0.18182	-0.047619	0.207403659
245	None	And sometimes this prophetic voice pushes a secret switch hidden deep inside your brain.	  Neutral	0	0	-0.047619	0.207403659
246	None	"Your heart is like a great river after a long spell of rain, spilling over its banks."	  Very positive	2	0.18182	-0.095238	0.159784659
247	None	"All signposts that once stood on the ground are gone, inundated and carried away by that rush of water."	  Negative	-1	0.18182	-0.14286	0.112162659
248	None	And still the rain beats down on the surface of the river.	  Neutral	0	0.18182	-0.095238	0.159784659
249	None	Every time you see a flood like that on the news you tell yourself: That's it.	  Negative	-1	0.090909	-0.047619	0.207403659
250	None	That's my heart.	  Positive	1	0.090909	-0.047619	0.207403659
251	None	"Before running away from home I wash my hands and face, trim my nails, swab out my ears, and brush my teeth."	  Positive	1	0	0	0.255022659
252	None	"I take my time, making sure my whole body's well scrubbed."	  Neutral	0	-0.18182	0	0.255022659
253	None	Being really clean is sometimes the most important thing there is.	  Neutral	0	0	0	0.255022659
254	None	I gaze carefully at my face in the mirror.	  Negative	-1	0	-0.047619	0.207403659
255	None	Genes I'd gotten from my father and mother--not that I have any recollection of what she looked like--created this face.	  Neutral	0	0	-0.047619	0.207403659
256	None	"I can do my best to not let any emotions show, keep my eyes from revealing anything, bulk up my muscles, but there's not much I can do about my looks."	  Negative	-1	-0.090909	-0.047619	0.207403659
257	None	"I'm stuck with my father's long, thick eyebrows and the deep lines between them."	  Neutral	0	-0.18182	-0.095238	0.159784659
258	None	I could probably kill him if I wanted to--I'm sure strong enough--and I can erase my mother from my memory.	  Positive	1	-0.18182	-0.095238	0.159784659
259	None	But there's no way to erase the DNA they passed down to me.	  Neutral	0	-0.27273	-0.14286	0.112162659
260	None	If I wanted to drive that away I'd have to get rid of me.	  Negative	-1	-0.18182	-0.095238	0.159784659
261	None	There's an omen contained in that.	  Neutral	0	-0.18182	-0.19048	0.064542659
262	None	A mechanism buried inside of me.	  Neutral	0	0	-0.28571	-0.030687341
263	None	A mechanism buried inside of you.	  Neutral	0	-0.090909	-0.33333	-0.078307341
264	None	I switch off the light and leave the bathroom.	  Negative	-1	-0.27273	-0.33333	-0.078307341
265	None	"A heavy, damp stillness lies over the house."	  Neutral	0	-0.27273	-0.28571	-0.030687341
266	None	"The whispers of people who don't exist, the breath of the dead."	  Neutral	0	-0.27273	-0.2381	0.016922659
267	None	"I look around, standing stock-still, and take a deep breath."	  Positive	1	-0.36364	-0.19048	0.064542659
268	None	"The clock shows three p. m., the two hands cold and distant."	  Negative	-1	-0.45455	-0.2381	0.016922659
